age,annual_income,credit_score,loan_amount,employment_years,debt_to_income,default
59,136878,798,72192,8.4,0.273,0
52,99865,817,51851,9.0,0.21,0
20,99134,604,53075,11.2,0.265,0
23,70841,748,74880,5.9,0.148,0
48,63483,626,70440,6.3,0.326,0
53,63718,697,61838,20.0,0.282,0
27,81716,585,13722,27.0,0.366,1
27,112036,632,29695,0.0,0.324,0
25,75439,629,22914,0.0,0.325,0
50,42657,747,61006,1.3,0.126,1
18,94733,740,48754,7.3,0.359,0
51,97635,701,14409,14.3,0.26,1
45,89640,579,40848,12.1,0.28,1
45,92365,657,12130,9.2,0.426,1
57,61872,624,43831,11.7,0.214,1
48,42130,745,8582,3.2,0.462,1
60,43954,768,56634,6.3,0.473,1
62,20936,759,53315,7.9,0.39,1
71,77108,623,86975,0.0,0.182,1
64,67497,475,63653,0.0,0.05,1
48,56800,547,35696,0.1,0.429,1
46,20000,787,62998,13.3,0.313,0
31,32580,650,14251,9.7,0.211,1
52,103625,624,23826,12.3,0.441,1
26,50061,803,52329,0.0,0.197,1
72,80818,775,5000,0.0,0.249,0
67,28279,682,44182,12.6,0.363,1
24,113161,658,22554,0.0,0.166,1
63,65679,670,47229,16.6,0.287,1
24,78701,697,21290,0.0,0.431,1
59,139773,800,54333,13.9,0.325,0
23,115493,712,45425,1.8,0.45,1
46,60803,734,75808,15.3,0.436,1
56,52203,768,45148,30.5,0.301,0
60,60234,592,28090,0.0,0.05,1
42,85297,737,39569,12.9,0.167,1
71,66843,658,15427,0.0,0.392,0
62,58143,491,53935,11.0,0.114,1
30,114015,520,57977,6.6,0.261,1
56,66574,604,99322,8.9,0.341,1
60,138988,720,31320,1.6,0.476,1
37,72722,689,39109,13.5,0.231,1
60,123560,694,32333,0.0,0.223,1
70,80720,826,49667,16.7,0.294,0
65,98889,585,53397,5.1,0.342,1
62,48262,678,43826,0.0,0.281,1
54,44387,703,68899,19.2,0.426,1
33,83791,625,31426,7.5,0.204,1
64,99657,682,66696,21.4,0.314,1
39,71208,560,56847,16.5,0.353,1
48,31408,786,44735,2.4,0.252,0
36,29192,629,38071,7.4,0.401,1
36,27186,832,98387,8.8,0.318,0
27,20000,678,27026,18.7,0.395,1
73,73285,757,51555,11.1,0.323,0
26,103751,676,28495,9.2,0.345,1
23,69598,678,84284,6.6,0.224,1
72,20000,636,64510,7.6,0.224,0
50,64277,689,30076,17.1,0.447,0
43,65116,704,56277,8.0,0.376,1
60,132880,621,50669,5.2,0.177,1
40,26286,671,33634,4.0,0.322,0
25,58280,634,61680,4.1,0.05,1
60,121176,850,53565,0.0,0.231,0
28,83499,673,49745,2.7,0.415,1
50,86899,796,44078,18.5,0.285,0
73,73438,665,54483,6.6,0.314,0
72,79898,699,50047,12.9,0.05,0
38,93328,581,46300,0.0,0.253,0
63,45715,646,30898,12.0,0.341,1
53,96342,696,82263,6.9,0.356,1
45,28810,799,21891,4.6,0.415,1
26,79851,697,54408,9.3,0.275,1
39,75362,784,37955,4.5,0.28,0
55,51511,728,83710,0.0,0.14,1
75,69319,802,25123,14.5,0.275,0
18,51324,676,28824,9.7,0.149,1
59,37849,850,23664,5.8,0.078,0
67,59392,644,52116,1.2,0.17,1
73,36880,623,14793,0.0,0.481,1
42,79684,589,34472,9.6,0.268,1
24,35497,850,5000,19.3,0.326,0
33,91359,741,50289,9.4,0.238,1
67,34556,655,33995,0.0,0.085,1
68,53011,774,12263,9.6,0.412,1
54,51262,732,68883,7.6,0.05,1
25,109754,827,16231,14.0,0.233,0
25,79909,564,62533,12.2,0.293,1
45,63648,660,29577,0.0,0.328,0
52,84962,645,80235,11.8,0.213,1
19,20000,532,61490,1.0,0.079,1
57,68706,760,22823,0.0,0.204,0
49,129925,660,24824,6.7,0.21,0
18,73970,735,58322,10.9,0.207,0
23,72037,850,39228,0.0,0.416,0
44,86444,654,41274,12.9,0.154,1
59,96868,648,72989,13.3,0.336,1
65,20000,689,28529,8.3,0.319,1
43,20000,754,47008,1.9,0.415,0
35,76309,637,66002,1.1,0.284,0
74,48554,633,62801,15.2,0.395,0
44,109361,759,41489,0.0,0.279,0
36,60545,708,38644,15.5,0.352,1
43,20000,527,6746,6.8,0.12,0
18,31960,588,21763,7.3,0.05,1
35,20000,793,52004,0.0,0.345,1
47,62976,710,41967,7.0,0.352,0
71,64348,623,46648,12.3,0.357,1
60,57266,667,67864,0.0,0.237,1
63,102366,681,18879,11.5,0.479,0
49,105956,735,39804,8.6,0.245,0
24,64888,578,49152,3.5,0.351,1
40,20000,617,29508,14.0,0.371,1
75,88518,700,76492,0.0,0.506,1
20,86661,673,64989,10.4,0.262,0
68,79282,723,51383,19.3,0.222,0
57,99444,588,84473,18.1,0.12,0
34,35055,707,12024,10.7,0.486,1
63,130263,762,44830,5.9,0.351,1
66,41217,717,53059,3.5,0.354,1
20,92477,690,24880,5.9,0.674,1
24,20000,673,51616,11.8,0.339,0
56,42092,617,20655,2.3,0.144,0
75,115491,675,60192,13.3,0.276,1
19,62173,774,68272,22.9,0.183,0
56,95198,671,50991,7.6,0.252,1
25,77109,613,5000,0.0,0.252,1
55,66851,643,23731,0.0,0.23,1
54,110916,695,57424,13.4,0.133,1
23,62900,652,45466,7.6,0.491,1
57,20000,716,5000,14.1,0.336,1
70,45903,719,72342,4.3,0.273,1
68,86536,747,48006,13.8,0.391,0
19,81865,787,26980,6.9,0.357,0
32,22988,755,66889,2.9,0.333,1
31,48270,610,30094,5.2,0.382,1
44,52548,612,29854,0.0,0.316,1
26,59036,674,52884,21.9,0.38,0
67,28723,646,84183,7.3,0.39,1
63,51149,595,80719,12.5,0.32,1
64,48142,647,52914,4.2,0.274,0
29,93146,644,55172,0.6,0.484,1
18,94274,630,62413,6.4,0.243,1
70,65626,656,17346,15.7,0.347,0
34,58239,768,59171,4.4,0.35,1
56,74198,695,28850,1.9,0.227,0
70,45503,850,52007,9.1,0.203,1
20,35595,693,39996,11.5,0.258,1
18,41793,658,56027,19.5,0.241,1
18,50956,680,47598,10.5,0.125,1
27,35096,699,5000,12.5,0.222,0
20,74862,713,48936,13.0,0.332,0
65,91891,836,59127,0.0,0.452,1
53,22387,617,54810,1.3,0.367,1
74,70754,744,42743,0.4,0.05,0
64,63402,696,81128,0.0,0.377,0
73,80245,562,51850,13.6,0.233,1
31,69612,738,54629,10.0,0.354,0
34,26392,775,67979,8.6,0.298,1
67,32128,616,52977,0.0,0.277,1
32,70883,679,25244,22.4,0.288,1
21,100863,551,5000,1.7,0.297,1
56,20000,586,34503,22.4,0.461,0
64,80372,759,61741,0.0,0.298,0
74,105689,645,37232,2.3,0.43,0
71,65409,597,62626,0.0,0.413,1
24,86506,697,48272,10.5,0.38,1
62,48908,641,73337,0.3,0.086,1
67,66419,645,38505,0.5,0.434,1
58,21373,735,55288,0.0,0.245,0
65,20000,593,56129,13.4,0.386,1
66,98283,612,78035,13.0,0.183,1
43,40450,692,7454,20.7,0.158,1
20,56334,753,34915,3.2,0.537,1
44,28407,773,63667,9.5,0.185,0
29,27701,630,79010,0.0,0.438,1
24,64785,750,50282,5.7,0.314,1
25,48113,621,38561,4.4,0.25,1
58,81339,817,61657,11.3,0.295,0
47,83576,595,64111,15.1,0.144,1
49,79625,780,37087,14.9,0.298,1
61,77158,631,52267,2.1,0.17,1
49,117333,831,70972,15.0,0.253,0
54,37972,724,86590,7.7,0.411,0
22,68352,604,61337,5.7,0.331,1
67,103981,641,45971,3.0,0.122,1
44,107936,739,43810,4.1,0.402,1
27,27347,759,57263,20.2,0.299,1
65,60629,675,42455,10.2,0.235,1
60,110744,683,49172,9.2,0.39,0
21,85242,737,21727,6.2,0.28,1
29,75858,690,73535,25.1,0.16,1
18,63469,583,19916,17.1,0.522,1
33,58486,619,35494,3.0,0.298,1
23,78647,698,47147,6.1,0.29,1
59,62429,771,88802,6.5,0.251,1
48,68723,801,35701,9.0,0.442,0
74,72358,738,30348,3.1,0.237,1
61,49658,702,32882,11.1,0.115,0
53,85964,736,81496,18.2,0.219,0
47,157427,630,5000,0.0,0.459,1
21,20000,669,22940,0.1,0.4,0
22,79720,618,105088,4.6,0.269,1
53,47194,586,57999,4.9,0.465,1
18,87322,705,20668,22.0,0.39,1
20,71397,694,44078,15.0,0.268,1
30,92856,732,46484,14.6,0.28,0
69,105265,721,63615,6.1,0.34,1
44,75773,698,85469,6.0,0.2,1
59,103962,722,53548,0.0,0.301,1
41,20000,677,33125,13.5,0.337,1
28,117714,711,62316,11.4,0.098,1
39,81252,626,29638,17.0,0.277,1
23,102335,708,22267,6.5,0.264,0
62,33404,730,6282,7.0,0.423,1
28,45077,630,10567,9.2,0.079,1
39,74378,684,25278,14.2,0.254,1
74,69489,633,19089,0.0,0.242,1
52,78492,641,51891,13.2,0.415,0
44,102535,596,18613,7.9,0.295,1
49,20000,775,5000,0.6,0.516,1
63,99215,760,22034,0.0,0.379,0
32,70248,720,34619,7.0,0.251,1
54,63887,828,31680,18.1,0.329,0
68,25867,666,78430,19.7,0.258,1
51,85091,850,31502,10.5,0.403,1
43,20000,663,64380,21.7,0.14,1
26,89452,699,44582,7.7,0.201,1
32,25237,650,44069,14.7,0.355,1
72,71604,708,26622,4.8,0.447,1
49,66425,743,43707,4.4,0.05,0
35,105086,671,28168,3.3,0.465,1
42,64640,813,48741,0.0,0.283,0
51,49176,698,39803,17.0,0.074,0
49,54802,700,24218,3.5,0.05,1
58,108186,612,66822,2.4,0.116,1
32,86089,711,54390,0.0,0.298,0
55,58431,670,35143,6.6,0.292,1
43,62907,634,48201,20.3,0.376,1
72,22985,622,43156,22.7,0.234,0
27,81654,850,25913,0.0,0.167,0
26,20000,660,46551,5.5,0.25,1
44,92554,571,31338,0.8,0.304,1
47,73859,628,24211,14.9,0.328,1
58,141609,676,9299,10.0,0.205,1
41,36996,721,37111,3.5,0.408,1
70,66920,722,57473,8.5,0.225,1
45,123949,731,29717,4.7,0.196,0
25,105742,632,100456,19.3,0.235,1
24,49114,706,64485,11.8,0.429,1
74,76719,614,73695,12.7,0.284,1
25,70060,634,62495,0.0,0.217,1
72,78459,611,85763,7.5,0.411,1
34,49040,591,27686,22.6,0.557,0
23,67320,760,5000,17.3,0.325,0
35,22058,732,35185,0.0,0.448,0
53,74054,753,57281,5.8,0.424,0
42,83501,683,48333,0.0,0.227,1
63,63177,738,51060,20.0,0.303,1
53,21548,548,74060,9.7,0.146,0
41,99656,745,53405,2.6,0.275,1
54,80936,693,62576,8.2,0.225,1
74,48220,727,24330,0.0,0.252,1
41,61582,709,20901,0.4,0.21,1
26,24980,606,80511,8.3,0.266,1
41,39238,568,47220,13.9,0.364,1
66,53866,627,31289,0.0,0.286,0
30,106853,722,31329,5.3,0.076,1
73,50815,732,30719,15.1,0.21,1
52,89206,577,29403,0.0,0.118,0
52,53851,606,16771,9.6,0.329,1
36,77438,626,11991,8.5,0.36,1
71,65758,653,40710,20.0,0.331,1
20,96192,578,31956,6.4,0.206,1
35,53956,573,69358,6.8,0.33,1
42,22824,618,51448,14.0,0.244,1
45,28542,686,50837,0.0,0.163,1
45,54044,591,28651,6.5,0.389,1
26,32528,671,42337,4.8,0.398,1
31,82306,759,52942,7.0,0.414,0
23,56027,582,60756,13.9,0.227,1
51,141238,665,42934,11.9,0.442,0
38,20000,757,68741,2.8,0.241,0
50,76109,649,45176,9.0,0.378,1
52,36161,637,62443,18.4,0.239,1
58,55198,767,34223,2.2,0.273,0
49,74243,657,5123,9.0,0.05,1
55,20000,763,50904,6.6,0.264,0
52,77105,712,60957,7.6,0.311,1
55,127087,654,57658,0.0,0.251,1
53,56397,716,54288,17.9,0.511,1
36,77794,704,37331,2.6,0.161,0
32,100748,757,27252,15.2,0.232,1
63,65081,639,57138,3.7,0.191,1
37,52571,683,54382,3.6,0.232,1
49,20000,675,32660,16.5,0.424,1
29,89230,733,69407,15.0,0.477,0
43,66605,603,25577,9.5,0.216,0
48,39619,756,32162,13.3,0.213,1
54,73798,715,81001,6.0,0.161,1
48,52490,581,64109,7.9,0.457,1
38,54147,771,37124,3.4,0.435,0
73,88189,848,51322,14.3,0.287,1
47,29849,755,48405,3.1,0.132,1
64,101419,787,5000,18.4,0.143,0
60,28069,686,25058,5.8,0.32,1
50,50119,555,43881,8.1,0.366,1
69,127688,542,37155,13.3,0.052,1
25,103821,699,50436,8.2,0.261,0
71,72928,636,69849,5.9,0.494,1
67,41784,611,37926,7.8,0.274,1
47,54122,675,21732,14.3,0.479,1
60,72198,726,52147,3.4,0.378,0
48,71126,571,37814,7.1,0.17,1
33,67274,646,41567,8.1,0.265,1
64,69075,793,38581,14.1,0.285,0
32,63569,599,94320,7.3,0.186,1
36,26741,745,5000,20.7,0.184,1
48,54505,644,36457,6.9,0.481,1
66,97439,721,44919,6.3,0.183,1
40,28950,762,27815,6.8,0.429,0
46,64313,736,64796,0.0,0.248,1
20,45407,748,62892,0.7,0.297,1
24,73341,594,43949,4.3,0.367,1
21,58341,764,39045,16.0,0.228,1
22,114322,616,42537,7.8,0.368,1
68,85197,699,42695,4.6,0.054,1
66,30646,699,43276,16.6,0.353,0
65,90137,716,40864,18.9,0.05,1
21,46760,705,50554,16.8,0.273,1
22,52690,617,61571,2.0,0.403,1
34,79415,579,17934,4.5,0.375,1
50,55248,745,21885,20.7,0.144,0
37,96786,694,6533,9.7,0.16,0
46,46765,766,64061,6.1,0.217,1
28,51432,677,50507,13.0,0.322,0
60,50309,575,56116,15.1,0.056,1
36,53031,752,13551,4.0,0.298,1
21,102976,652,84269,9.5,0.337,1
61,88864,706,31605,14.5,0.266,1
70,121298,631,48701,0.0,0.363,1
18,138029,803,63796,8.1,0.327,0
43,39078,614,23286,0.2,0.235,0
65,72113,655,32981,1.1,0.068,0
58,34714,688,48942,4.1,0.316,1
67,46672,598,107864,11.3,0.186,1
42,51098,705,51625,5.7,0.231,1
39,38285,801,80340,3.5,0.357,0
59,38443,643,71525,8.4,0.47,1
26,65671,710,53096,0.0,0.295,1
31,33498,474,23238,11.0,0.366,1
52,95264,677,68315,15.9,0.127,1
56,42467,657,12042,7.4,0.329,1
24,154287,619,80219,6.6,0.293,1
47,56458,761,49400,10.6,0.448,1
39,72161,656,5000,0.0,0.235,1
47,31140,667,37509,11.8,0.271,1
73,121183,652,59387,29.7,0.427,1
22,103585,536,39785,7.1,0.289,0
75,78907,595,60730,7.2,0.167,1
44,29596,752,26299,13.2,0.606,0
62,76320,522,16268,19.5,0.171,1
42,36357,623,43428,14.8,0.292,1
36,113871,650,45694,0.0,0.342,0
62,94276,811,37336,11.9,0.332,0
57,72863,738,72000,26.0,0.277,0
26,20000,638,26295,12.4,0.278,1
58,40498,778,51890,0.0,0.272,0
61,90633,624,46495,10.0,0.166,1
40,106387,756,10752,0.0,0.558,0
71,103275,578,15981,16.6,0.274,1
55,22240,760,45262,1.3,0.372,0
37,79047,650,88586,8.5,0.26,0
18,100465,603,57744,2.0,0.257,1
57,20250,664,7036,4.2,0.245,0
30,69763,701,5000,18.4,0.114,1
61,78215,643,61127,8.7,0.281,1
48,60977,722,42883,4.1,0.251,1
45,20000,636,70108,0.0,0.441,1
27,60229,727,25624,0.0,0.156,1
59,60181,713,52705,0.0,0.231,1
27,65558,675,63616,8.8,0.192,0
42,53096,647,35156,14.9,0.473,1
66,56710,691,35626,4.1,0.196,1
71,68809,721,45556,19.0,0.367,0
75,83274,835,56939,3.0,0.416,1
73,60867,750,44685,6.3,0.282,1
50,57711,753,66428,0.4,0.135,1
29,72771,850,34837,14.9,0.136,0
66,20000,719,15775,22.7,0.403,1
64,84311,716,88493,0.0,0.149,1
75,69983,733,31698,5.6,0.347,0
55,71191,604,32494,16.9,0.314,1
26,98822,647,43552,0.0,0.345,1
47,20000,642,46478,12.0,0.357,1
43,20000,729,36493,16.6,0.188,1
66,78214,667,44616,8.5,0.183,0
40,69786,690,44125,11.9,0.386,1
37,75105,762,48846,20.3,0.224,1
22,56136,745,5000,21.6,0.05,1
66,89931,668,86379,7.6,0.378,1
61,97979,630,41760,4.3,0.176,1
20,84519,765,57774,1.6,0.356,1
43,62175,738,14682,14.8,0.467,0
45,20000,560,34638,0.0,0.302,1
45,93077,657,30209,6.2,0.419,1
71,106652,692,77334,8.7,0.318,1
26,89337,738,32112,4.5,0.49,1
35,43611,748,61678,10.0,0.173,0
28,90214,701,30691,26.0,0.299,1
32,95816,724,35042,7.1,0.381,1
70,116764,685,39598,5.0,0.277,0
72,43717,629,73245,15.1,0.438,1
20,63206,660,5000,9.7,0.248,1
54,92418,681,16055,18.1,0.548,1
31,71722,677,5000,9.2,0.555,0
29,36480,539,21075,6.3,0.334,1
34,82438,650,27145,0.0,0.366,0
29,87360,684,9481,0.0,0.443,1
46,72639,659,28849,0.0,0.158,0
75,76588,661,5000,10.7,0.143,1
52,62239,717,22604,0.0,0.451,0
59,114348,599,71409,16.8,0.333,1
46,42979,558,53879,8.2,0.273,0
18,52380,654,49124,6.3,0.301,0
22,70330,737,22939,2.1,0.05,0
33,96369,807,11206,12.4,0.277,0
32,25079,739,19939,2.4,0.21,0
66,30691,570,44049,1.1,0.41,1
66,20000,663,64100,16.3,0.419,1
67,70981,699,64852,10.5,0.369,1
54,36451,693,58873,6.4,0.347,1
50,58463,720,28774,12.5,0.12,1
55,89841,611,45540,8.1,0.371,0
41,50754,685,37930,10.7,0.376,1
56,76938,712,40574,2.3,0.449,1
64,61020,742,89817,22.5,0.554,1
62,90163,620,6236,3.9,0.097,1
53,84254,654,39837,18.9,0.253,1
21,49242,477,71658,6.7,0.211,1
60,64940,633,12750,13.6,0.321,1
39,101312,641,30838,13.1,0.302,1
61,81801,604,33361,16.0,0.272,1
49,28091,692,40088,2.1,0.423,1
69,89669,676,9889,15.5,0.168,1
37,37462,511,58096,20.9,0.175,1
72,112375,696,59658,6.2,0.177,1
66,100723,610,56184,8.2,0.257,1
37,78697,716,25852,4.3,0.153,1
45,74717,584,46903,5.6,0.294,1
48,63729,682,25212,20.0,0.28,0
62,90356,659,37683,1.0,0.206,1
57,58877,703,92376,1.4,0.405,1
67,77067,689,47105,19.3,0.293,1
39,96158,661,18874,12.4,0.428,1
47,53146,565,48967,22.8,0.277,1
42,51514,569,15260,4.8,0.297,1
70,34169,636,18622,8.9,0.232,1
35,38066,679,22095,3.4,0.299,1
52,20000,634,35225,9.0,0.385,1
24,91895,727,65613,0.0,0.251,0
67,124267,659,57725,12.8,0.362,1
40,112760,608,56506,10.3,0.202,1
37,21217,659,20824,7.6,0.391,1
51,91746,697,33091,5.3,0.23,1
46,112663,704,50984,1.7,0.402,1
67,56296,821,31177,13.1,0.307,1
48,73043,630,38876,0.0,0.483,1
47,20000,674,54710,11.6,0.162,0
24,78002,712,37327,22.5,0.123,1
19,38093,678,49973,18.4,0.226,1
41,75989,642,80040,0.0,0.134,1
75,23164,564,41219,4.2,0.134,1
71,86286,642,70945,11.0,0.375,1
54,100735,599,57306,7.5,0.299,1
54,46505,551,12721,0.0,0.242,1
40,35892,620,20753,10.7,0.254,1
28,20000,601,26661,7.9,0.228,1
18,62008,724,26194,21.4,0.498,1
37,52552,725,43014,6.2,0.212,1
36,23469,612,58522,16.2,0.141,1
29,83591,660,72613,0.0,0.396,1
33,56501,541,51780,0.8,0.274,1
19,37728,643,35195,13.1,0.545,1
53,53363,710,5000,15.6,0.237,1
71,102139,742,46553,1.3,0.402,0
58,88088,627,45567,8.2,0.43,1
43,66099,759,49024,0.0,0.237,1
42,88573,566,91337,6.7,0.211,0
35,35173,586,72293,13.9,0.389,1
26,70971,733,62271,5.0,0.369,1
52,74420,805,23834,6.3,0.131,1
50,55905,717,33714,0.1,0.165,1
18,83064,677,42913,3.5,0.05,0
42,46587,515,27941,20.3,0.371,1
34,85295,528,56010,8.5,0.269,1
27,86556,690,52852,1.0,0.281,1
58,20000,653,21057,5.8,0.097,1
48,105709,597,71330,0.0,0.168,1
54,20000,685,47251,0.9,0.243,1
59,51519,689,6960,17.5,0.219,1
74,100760,751,43870,7.0,0.314,0
64,60481,690,51187,21.2,0.37,0
53,26014,772,66401,7.3,0.572,1
68,37188,681,37576,7.7,0.298,1
45,100807,671,63215,12.5,0.434,0
75,20000,760,49117,0.0,0.2,0
62,103870,607,16069,9.4,0.099,1
55,68347,850,13866,7.7,0.258,0
70,34228,708,69696,18.4,0.108,1
47,52507,709,71312,14.8,0.302,1
59,39483,719,52104,0.1,0.206,0
34,95987,821,77906,16.7,0.065,0
73,91973,739,68245,6.2,0.508,0
54,20000,560,60040,1.7,0.235,0
63,57892,785,24951,9.4,0.103,0
44,44104,654,83091,6.6,0.408,1
68,108805,688,56799,18.8,0.213,1
22,29497,584,36512,10.4,0.431,1
24,118127,719,30298,9.4,0.212,0
47,69001,631,50649,14.3,0.235,1
60,35142,688,8237,15.7,0.341,1
64,49682,659,60393,13.5,0.371,1
43,45951,824,24021,17.9,0.392,1
55,31761,829,53153,12.3,0.289,0
50,72845,683,33524,9.2,0.363,0
73,33163,685,39183,16.7,0.389,1
55,20000,652,28348,7.4,0.324,0
42,58610,763,41453,8.2,0.283,0
74,20000,655,86566,20.1,0.127,1
24,47435,648,75471,19.4,0.372,1
75,42727,753,52799,7.9,0.305,1
26,43864,640,44444,4.8,0.25,1
34,130029,677,63572,18.2,0.453,0
65,71692,561,69859,13.6,0.129,1
60,77361,733,26744,10.2,0.497,1
74,20000,826,43296,5.7,0.297,1
61,50381,734,5000,10.3,0.338,0
54,76459,790,69708,7.8,0.253,1
38,39264,617,90431,3.3,0.1,1
18,97242,698,46762,8.9,0.283,1
25,33919,609,5000,9.9,0.34,0
35,61409,663,58396,5.4,0.381,1
20,52418,738,25110,14.3,0.276,0
47,74930,688,30406,17.0,0.05,0
63,50785,574,58785,14.8,0.115,1
73,61873,581,50600,6.1,0.546,1
46,62916,576,34262,13.3,0.169,1
68,47968,717,30709,8.5,0.471,0
75,84553,835,47768,0.0,0.188,1
67,77152,782,35992,12.7,0.278,1
44,67342,538,20597,9.0,0.375,1
36,57086,787,37684,26.2,0.202,1
74,93896,750,52471,18.2,0.491,1
32,62925,564,41082,13.0,0.309,0
41,60799,657,13903,9.7,0.355,0
22,73141,762,66759,9.1,0.268,0
64,120898,721,5000,1.0,0.379,1
55,29789,582,35180,0.0,0.489,1
22,93096,726,31356,1.9,0.284,0
30,20000,520,48260,7.7,0.508,1
50,76518,663,57357,0.0,0.227,1
49,117252,765,69789,4.2,0.392,1
64,84660,681,29327,6.3,0.359,1
33,75119,643,57905,6.5,0.172,1
71,53187,747,49308,3.4,0.326,0
43,70931,753,7346,5.6,0.301,0
65,62438,778,86812,20.1,0.198,1
31,46421,746,13347,12.6,0.343,0
20,61304,761,54229,4.1,0.318,0
21,75951,735,53579,7.5,0.291,0
39,46983,700,51064,7.8,0.292,1
73,45812,687,34119,2.6,0.289,1
20,29193,662,63200,2.6,0.256,1
39,81722,589,10672,15.1,0.317,1
24,86360,608,43552,5.1,0.223,1
72,76950,659,32595,0.3,0.619,1
57,98955,698,30099,7.7,0.131,1
62,72636,788,54432,8.8,0.23,0
59,81760,677,68705,0.0,0.239,1
56,79115,755,37448,7.7,0.545,1
62,67254,761,62175,14.1,0.142,1
18,54075,663,46094,11.2,0.351,1
68,136425,725,25360,23.6,0.33,0
60,56441,662,39325,16.8,0.34,1
60,50024,779,38411,18.1,0.448,1
40,83020,728,29673,27.6,0.446,1
64,77556,591,54427,13.3,0.246,1
40,27856,692,50162,9.1,0.323,1
20,103680,804,10006,14.8,0.076,0
70,67174,666,8666,4.1,0.312,0
31,36672,714,54343,8.8,0.205,0
23,105664,721,27064,3.5,0.278,0
54,88770,602,51645,10.8,0.098,1
31,32064,718,62180,3.4,0.349,1
67,123315,575,17039,3.2,0.096,0
43,89764,633,13946,10.9,0.318,0
18,69694,761,81837,7.0,0.153,1
73,117707,707,52735,0.0,0.198,1
47,74779,657,35777,0.0,0.439,1
33,69158,713,24453,0.0,0.371,1
57,50191,675,33770,1.8,0.438,0
48,87456,681,18807,10.9,0.487,1
19,84298,729,64435,9.5,0.207,0
62,70440,625,27911,15.5,0.48,0
41,46300,683,69058,13.3,0.124,1
58,73898,657,36186,15.5,0.39,1
69,67906,561,22046,12.3,0.241,1
53,29996,611,35621,9.5,0.188,1
56,25846,798,5000,15.7,0.374,0
32,86955,709,42343,14.4,0.413,1
31,20000,581,41257,10.6,0.41,1
42,76162,564,63144,16.9,0.326,0
67,55658,672,5000,0.0,0.316,1
48,109247,797,70561,6.0,0.363,0
38,55196,666,63053,5.9,0.336,0
63,89785,778,72545,16.1,0.365,1
67,58093,706,43840,19.0,0.324,1
70,73412,715,67306,0.0,0.401,1
35,92105,580,12633,17.9,0.105,1
59,56123,750,60687,0.0,0.284,1
52,99897,655,28034,0.0,0.134,1
44,40189,745,8669,6.4,0.333,0
41,78838,619,20269,5.8,0.497,1
24,97679,693,45122,0.0,0.243,1
33,89801,706,26865,12.5,0.315,1
49,127493,668,53274,12.8,0.391,1
69,47097,710,5219,15.4,0.052,0
68,28626,660,5000,5.0,0.237,0
28,40170,631,75193,7.7,0.344,1
57,89813,800,64884,7.8,0.05,1
22,84938,759,21915,19.8,0.183,1
57,73068,623,44934,0.0,0.432,1
37,36311,723,67429,1.3,0.42,0
44,93006,624,54222,8.0,0.345,0
59,33259,591,48261,0.4,0.406,1
42,104768,758,69093,6.2,0.326,1
64,155723,552,28924,7.1,0.367,1
48,80994,750,45686,3.4,0.262,1
75,87493,661,44607,8.5,0.314,1
55,55214,664,38999,12.4,0.224,1
35,20000,711,36424,6.3,0.452,1
62,51918,724,46603,4.8,0.483,1
41,37213,618,45757,6.8,0.466,1
48,26590,734,21935,7.9,0.251,1
25,121671,689,62640,0.0,0.186,0
24,78186,586,23520,11.2,0.453,1
51,81391,667,40199,4.8,0.365,1
28,60729,784,38504,16.8,0.339,0
75,64814,806,52878,12.1,0.224,0
67,98937,734,5000,16.2,0.351,1
58,69030,591,64600,0.9,0.17,1
60,85921,717,30106,5.4,0.376,1
52,64120,744,71839,0.0,0.465,1
21,59735,734,34480,3.1,0.496,0
40,27793,739,43925,16.8,0.385,0
46,20000,707,87103,18.4,0.134,1
71,62153,675,38899,0.0,0.324,1
30,71695,634,72255,4.8,0.557,1
46,31416,538,45859,7.5,0.196,1
37,68966,705,54139,12.1,0.293,1
25,71613,694,46539,0.0,0.47,1
23,20000,722,63653,0.0,0.374,0
39,42546,580,29918,11.4,0.598,1
22,82218,728,23351,0.0,0.212,1
21,81612,834,30951,4.9,0.181,0
38,35390,686,47194,9.1,0.447,1
29,74753,675,40142,10.9,0.156,1
50,100672,703,60626,7.0,0.276,1
19,93312,832,73704,5.4,0.292,0
35,67141,603,23532,13.9,0.424,1
44,55961,695,28853,10.0,0.374,1
73,51120,620,13403,3.5,0.355,0
54,84035,639,89668,8.3,0.252,1
69,75853,676,51703,10.7,0.446,1
37,88882,781,55556,20.0,0.7,0
44,73956,815,15515,13.5,0.383,0
42,94563,714,44974,16.5,0.312,1
69,72838,652,56203,3.7,0.144,1
73,93541,850,39439,4.3,0.224,0
73,96125,648,68666,6.4,0.274,1
61,45864,637,95860,7.0,0.236,1
47,20000,547,24165,0.9,0.298,1
49,116305,785,22514,16.9,0.513,0
74,77700,753,25689,14.2,0.45,0
34,20000,850,80336,5.9,0.281,1
38,48585,576,67932,12.5,0.155,1
70,93156,789,42018,9.6,0.46,0
40,61610,685,45804,13.0,0.294,0
31,54638,740,27036,0.0,0.093,0
50,112026,556,64581,7.0,0.385,1
36,38581,790,36642,7.6,0.423,0
69,46055,739,39278,12.4,0.05,0
70,76342,677,58393,3.6,0.201,1
35,81714,728,40864,0.0,0.287,1
48,84890,623,39831,0.4,0.388,1
75,97337,637,45233,7.6,0.238,1
61,75957,645,62498,8.4,0.2,0
